,countryWom,code,date,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,country,pdi,idv,mas,uai,ltowvs,ivr,casesPop,logCasesPop,logCasesMPop
82,Estonia,EST,2020-04-15,1400,35.0,117.0,1248,10.0,1055.0,26.0,33967.0,25606.0,1327014,Estonia,40.0,60.0,30.0,60.0,82.0,16.0,0.001055000173321457,-6.854214347768379,6.961296045910167
83,Spain,ESP,2020-04-15,180659,18812.0,70853.0,90994,7371.0,3864.0,402.0,650755.0,13918.0,46754400,Spain,57.0,51.0,42.0,86.0,48.0,44.0,0.003863999965778622,-5.55605237148833,8.259458195332408
84,Egypt,EGY,2020-04-15,2505,183.0,589.0,1733,,24.0,2.0,25000.0,244.0,104375000,Egypt,70.0,25.0,45.0,80.0,7.0,4.0,2.4e-05,-10.637456727616328,3.1780538303479458
85,Ecuador,ECU,2020-04-15,7858,388.0,780.0,6690,135.0,445.0,22.0,26093.0,1479.0,17658427,Ecuador,78.0,8.0,63.0,67.0,,,0.0004449999991505472,-7.717436277706916,6.09807428216624
86,Algeria,DZA,2020-04-15,2160,336.0,708.0,1116,60.0,49.0,8.0,3359.0,77.0,44081633,Algeria,,,,,26.0,32.0,4.8999999614351854e-05,-9.923690267724018,3.8918202981106265
87,Dominican Republic,DOM,2020-04-15,3614,189.0,208.0,3217,143.0,333.0,17.0,9275.0,855.0,10852853,Dominican Rep,65.0,30.0,65.0,45.0,13.0,54.0,0.00033299999548505816,-8.007368081542214,5.808142489980444
88,Denmark,DNK,2020-04-15,6681,309.0,2748.0,3624,89.0,1153.0,53.0,77712.0,13417.0,5794449,Denmark,18.0,74.0,16.0,23.0,35.0,70.0,0.001153000052291426,-6.765387992342722,7.050122520269059
89,Germany,DEU,2020-04-15,134753,3804.0,72600.0,58349,4288.0,1608.0,45.0,1728357.0,20629.0,83801617,Germany,35.0,67.0,66.0,65.0,83.0,40.0,0.0016079999983771196,-6.432764109234617,7.382746449738912
90,Czech Republic,CZE,2020-04-15,6301,166.0,819.0,5316,84.0,588.0,16.0,137672.0,12856.0,10715986,Czech Rep,57.0,58.0,57.0,74.0,70.0,29.0,0.0005880000216498977,-7.438783573246094,6.376726947898627
91,Cyprus,CYP,2020-04-15,715,12.0,65.0,638,8.0,592.0,10.0,17923.0,14845.0,1207770,Cyprus,,,,,,70.0,0.0005920001324755542,-7.43200369930402,6.3835066348840055
92,Costa Rica,CRI,2020-04-15,626,4.0,67.0,555,11.0,123.0,0.8,9089.0,1784.0,5089431,Costa Rica,35.0,15.0,21.0,86.0,,,0.00012299999744568696,-9.003326223358629,4.812184355372417
93,Colombia,COL,2020-04-15,3105,131.0,452.0,2522,106.0,61.0,3.0,45423.0,893.0,50901639,Colombia,67.0,13.0,64.0,80.0,13.0,83.0,6.100000041256039e-05,-9.704636687027678,4.110873864173311
94,China,CHN,2020-04-15,82341,3342.0,77892.0,1107,95.0,57.0,2.0,,,1444578947,China,80.0,20.0,66.0,30.0,87.0,24.0,5.700000001453711e-05,-9.772459289874687,4.04305126783455
95,Chile,CHL,2020-04-15,8273,94.0,2937.0,5242,389.0,433.0,5.0,91873.0,4806.0,19106236,Chile,63.0,23.0,28.0,86.0,31.0,68.0,0.00043299999016028064,-7.744772852686309,6.07073772800249
96,Switzerland,CHE,2020-04-15,26336,1239.0,15400.0,9697,386.0,3043.0,143.0,199000.0,22993.0,8654617,Switzerland,34.0,68.0,70.0,58.0,74.0,66.0,0.0030430000541907284,-5.79491139025898,8.02059914989697
97,Canada,CAN,2020-04-15,28379,1010.0,8979.0,18390,557.0,752.0,27.0,467736.0,12393.0,37738032,Canada,39.0,80.0,52.0,48.0,36.0,68.0,0.0007519999983040981,-7.192774236269623,6.62273632394984
98,Bhutan,BTN,2020-04-15,5,,2.0,3,,6.0,,1166.0,1511.0,833333,Bhutan,94.0,52.0,32.0,28.0,,,6.00000240000096e-06,-12.02375068873614,1.791759469228055
99,Brazil,BRA,2020-04-15,28912,1760.0,14026.0,13126,296.0,136.0,8.0,62985.0,296.0,212588235,Brazil,69.0,38.0,49.0,76.0,44.0,59.0,0.00013600000018815716,-8.902855670844714,4.912654885736052
100,Belarus,BLR,2020-04-15,3728,36.0,203.0,3489,68.0,395.0,4.0,76198.0,8064.0,9437975,Belarus,,,,,81.0,15.0,0.00039499998675563347,-7.836624826593194,5.978885764901122
101,Bosnia and Herzegovina,BIH,2020-04-15,1110,41.0,253.0,816,4.0,338.0,12.0,13339.0,4066.0,3284024,Bosnia,,,,,70.0,44.0,0.00033799996589549896,-7.992464763382151,5.823045895483019
102,Bulgaria,BGR,2020-04-15,747,36.0,105.0,606,31.0,108.0,5.0,18502.0,2663.0,6916667,Bulgaria,70.0,30.0,40.0,85.0,69.0,16.0,0.00010799999479518097,-9.133379379032824,4.68213122712422
103,Bangladesh,BGD,2020-04-15,1231,50.0,49.0,1132,1.0,7.0,0.3,14868.0,90.0,175857143,Bangladesh,80.0,20.0,55.0,60.0,47.0,20.0,6.999999994313566e-06,-11.869600409721308,1.9459101490553132
104,Burkina Faso,BFA,2020-04-15,542,32.0,226.0,284,,26.0,2.0,,,20846154,Burkina Faso,70.0,15.0,50.0,55.0,27.0,18.0,2.5999999808118084e-05,-10.557414027322865,3.258096538021482
105,Benin,BEN,2020-04-15,35,1.0,18.0,16,,3.0,0.08,,,11666667,Belgium Netherl,61.0,78.0,43.0,97.0,,,2.999999914285717e-06,-12.716898297867592,1.0986122886681098
106,Belgium,BEL,2020-04-15,33573,4440.0,7107.0,22026,1204.0,2897.0,383.0,128132.0,11056.0,11588885,Belgium,65.0,75.0,54.0,94.0,82.0,57.0,0.002897000013374885,-5.844079555578118,7.9714309977693505
107,Azerbaijan,AZE,2020-04-15,1253,13.0,404.0,836,24.0,124.0,1.0,75397.0,7436.0,10104839,Azerbaijan,,,,,61.0,22.0,0.00012399999643735045,-8.995229021090282,4.820281565605037
108,Austria,AUT,2020-04-15,14350,393.0,8098.0,5859,232.0,1593.0,44.0,156801.0,17410.0,9008161,Austria,11.0,55.0,79.0,70.0,60.0,63.0,0.0015929999474920576,-6.442136281015897,7.373374309910049
109,Australia,AUS,2020-04-15,6462,63.0,3702.0,2697,76.0,253.0,2.0,377024.0,14785.0,25541502,Australia,38.0,90.0,61.0,51.0,21.0,71.0,0.0002529999997650882,-8.282121070165259,5.53338948872752
110,Armenia,ARM,2020-04-15,1111,17.0,297.0,797,30.0,375.0,6.0,9095.0,3069.0,2962667,Armenia,,,,,61.0,,0.0003749999578082856,-7.888584644505108,5.926926025970411
111,Argentina,ARG,2020-04-15,2571,112.0,596.0,1863,117.0,57.0,2.0,24374.0,539.0,45105263,Argentina,49.0,46.0,56.0,86.0,20.0,62.0,5.700000019953326e-05,-9.772459286629141,4.04305126783455
112,UAE,ARE,2020-04-15,5365,33.0,1034.0,4298,1.0,542.0,3.0,767000.0,77550.0,9898524,United Arab Emirates,90.0,25.0,50.0,80.0,,,0.0005419999991917987,-7.520244558015774,6.295266001439646
113,Andorra,AND,2020-04-15,673,33.0,169.0,471,17.0,8710.0,427.0,1673.0,21653.0,77268,Andorra,,,,,,65.0,0.008709944608376041,-4.7432898476814565,9.072227069846548
114,Albania,ALB,2020-04-15,494,25.0,251.0,218,5.0,172.0,9.0,4558.0,1584.0,2872093,Albania,90.0,20.0,80.0,70.0,61.0,15.0,0.00017200000139271256,-8.668016073053655,5.147494476813453
115,Angola,AGO,2020-04-15,19,2.0,5.0,12,,0.6,0.06,,,31666667,Angola,83.0,18.0,20.0,60.0,15.0,83.0,5.999999936842106e-07,-14.32633619225658,-0.5108256237659907
